Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	calcium-mediated signaling using intracellular calcium source (GO:0035584)	2/21	0.0013489660052641	0.0100192432356802	0	0	41.95578947368421	277.26134829575824	PRNP;GRM5
GO_Biological_Process_2021	regulation of adenylate cyclase activity (GO:0045761)	2/22	0.0014813981856645	0.0107277918611877	0	0	39.856	259.65262996111744	GRM3;GRM2
GO_Biological_Process_2021	positive regulation of dendritic spine development (GO:0060999)	2/22	0.0014813981856645	0.0107277918611877	0	0	39.856	259.65262996111744	FMR1;SHANK3
GO_Biological_Process_2021	microglial cell activation (GO:0001774)	2/22	0.0014813981856645	0.0107277918611877	0	0	39.856	259.65262996111744	APP;CX3CL1
GO_Biological_Process_2021	positive regulation of neuron apoptotic process (GO:0043525)	2/24	0.0017641092615234	0.012669511969123	0	0	36.22909090909091	229.6963992347988	PRNP;CDK5R1
GO_Biological_Process_2021	visual perception (GO:0007601)	3/93	0.0018240811047623	0.0129928400003155	0	0	13.508843537414966	85.19593881136177	TRPM1;GRM6;GRM8
GO_Biological_Process_2021	3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	2/25	0.001914326921873	0.0134157265734488	0	0	34.65217391304348	216.8667907992902	SULT1A4;SULT1A3
GO_Biological_Process_2021	regulation of protein processing (GO:0070613)	2/25	0.001914326921873	0.0134157265734488	0	0	34.65217391304348	216.8667907992902	CLN3;PRNP
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	4/206	0.0020107214963352	0.0139785358425229	0	0	8.146039603960396	50.58089145822027	APP;DAGLA;DAGLB;CX3CL1
GO_Biological_Process_2021	regulation of actin filament bundle assembly (GO:0032231)	2/26	0.0020704120293736	0.0142792702660771	0	0	33.20666666666666	205.21745381534535	SHANK3;CX3CL1
GO_Biological_Process_2021	positive regulation of stress-activated MAPK cascade (GO:0032874)	3/99	0.0021807726657283	0.0149219798938423	0	0	12.660714285714286	77.58581975162039	APP;PTK2B;PLCB1
GO_Biological_Process_2021	calcium-mediated signaling (GO:0019722)	3/102	0.002374228940932	0.0161187886692964	0	0	12.275200989486704	74.18005290538096	PRNP;GRM5;SULT1A3
GO_Biological_Process_2021	positive regulation of cell communication (GO:0010647)	2/28	0.0024000633634223	0.0161678687039846	0	0	30.64923076923077	184.8841331077731	HOMER1;GRIK2
GO_Biological_Process_2021	regulation of JNK cascade (GO:0046328)	3/105	0.0025780136237415	0.0172330295310105	0	0	11.912364945978393	71.00646364910682	APP;PTK2B;PLCB1
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	5/371	0.0027182428963332	0.0180317028772032	0	0	5.691780025578421	33.625725013044004	APP;PRNP;FMR1;PTK2B;CX3CL1
